id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract	mystery
10.2307/801860	10.2307/801860	News and Notes	Claudia E. Crumpton	The English Journal	5	9	1916-11-01T00:00:00Z	pp. 635-641	National Council of Teachers of English	mis			
10.2307/801722	10.2307/801722	Some Neglected Models	George K. Pattee	The English Journal	3	8	1914-10-01T00:00:00Z	pp. 463-469	National Council of Teachers of English	fla			
10.2307/801377	10.2307/801377	News and Notes	Elizabeth Haszinger, W. H. Wilcox	The English Journal	4	8	1915-10-01T00:00:00Z	pp. 535-544	National Council of Teachers of English	mis			
10.2307/800887	10.2307/800887	What Literature Shall We Teach?	O. B. Sperlin	The English Journal	7	5	1918-05-01T00:00:00Z	pp. 303-312	National Council of Teachers of English	fla			
10.2307/801010	10.2307/801010	Book Notices		The English Journal	6	4	1917-04-01T00:00:00Z	pp. 283-284	National Council of Teachers of English	mis			
10.2307/801376	10.2307/801376	Editorial: Remember the Date. Wanted: A Philosophy of Education		The English Journal	4	8	1915-10-01T00:00:00Z	p. 534	National Council of Teachers of English	fla			
10.2307/801696	10.2307/801696	A Footnote to Cinderella (An Exposition for Teachers Only)	William Hughes Mearns	The English Journal	3	4	1914-04-01T00:00:00Z	pp. 220-227	National Council of Teachers of English	fla			
10.2307/801042	10.2307/801042	Back Matter		The English Journal	8	8	1919-10-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801349	10.2307/801349	The Making of Poetry	L. W. Payne, Jr.	The English Journal	2	7	1913-09-01T00:00:00Z	pp. 470-473	National Council of Teachers of English	brv	The Making of Poetry, A Critical Study of Its Nature and Value|Arthur H. R. Fairchild		
10.2307/801655	10.2307/801655	Some Ways in Which Our Teaching of College Composition Is Ineffective	N. W. Barnes	The English Journal	5	3	1916-03-01T00:00:00Z	pp. 208-209	National Council of Teachers of English	fla			
10.2307/801335	10.2307/801335	Editorial: Piracy of Copyrighted Plays. The Council in November. Why Not? Nor All Oral Either		The English Journal	4	7	1915-09-01T00:00:00Z	pp. 471-472	National Council of Teachers of English	fla			
10.2307/801097	10.2307/801097	Back Matter		The English Journal	6	10	1917-12-01T00:00:00Z	p. 710	National Council of Teachers of English	mis			
10.2307/801256	10.2307/801256	The Improvement of American Speech	George Philip Krapp	The English Journal	7	2	1918-02-01T00:00:00Z	pp. 87-97	National Council of Teachers of English	fla			
10.2307/801822	10.2307/801822	Back Matter		The English Journal	5	1	1916-01-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801129	10.2307/801129	The Nations: A Masque Symbolizing the Triumph of Democracy over Sovereignty	May E. Peabody	The English Journal	8	4	1919-04-01T00:00:00Z	pp. 234-241	National Council of Teachers of English	fla			
10.2307/801206	10.2307/801206	News and Notes	L. W. Sawtelle, Millard L. Lowry	The English Journal	7	6	1918-06-01T00:00:00Z	pp. 398-409	National Council of Teachers of English	mis			
10.2307/800962	10.2307/800962	Grammar Based on Errors	Annette Betz, Esther Marshall	The English Journal	5	7	1916-09-01T00:00:00Z	pp. 491-500	National Council of Teachers of English	fla			
10.2307/800911	10.2307/800911	The Poem and the Printed Page	John Harrington Cox	The English Journal	3	7	1914-09-01T00:00:00Z	pp. 399-407	National Council of Teachers of English	fla			
